código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
1	Taxa de câmbio livre, venda de dólar americano	Câmbio	10	US$ / Un. Monet. Corr.	Diária	28/11/1984	9972	Reflete a taxa de câmbio diária para venda de dólares, importante para transações cambiais e para entender a valorização do real em relação ao dólar.	Exchange rate, Free, United States dollar (sale), 1	BCB - Banco Central do Brasil
3695	Taxa de câmbio livre, compra de dólar americano (final do período)	Câmbio	8	Un. Monet. Corr. / US$	Mensal	01/02/1953	859	Mede a taxa de câmbio de compra de dólares no mercado livre no final do período, importante para avaliar a flutuação cambial ao longo do mês e seu impacto nas transações internacionais.	Exchange rate, Free, United States dollar (purchase), end of period, 3695	BCB - Banco Central do Brasil
3696	Taxa de câmbio livre, venda de dólar americano (final do período)	Câmbio	8	Un. Monet. Corr. / US$	Mensal	01/02/1953	859	Mede a taxa de câmbio para venda de dólares no mercado livre no final do período, usada para avaliar a variação cambial e seu impacto nas operações financeiras internacionais.	Exchange rate, Free, United States dollar (sale), end of period, 3696	BCB - Banco Central do Brasil
3697	Taxa de câmbio livre, compra de dólar americano (média do período)	Câmbio	8	Un. Monet. Corr. / US$	Mensal	01/02/1953	859	Reflete a taxa de câmbio média para a compra de dólares durante o mês, essencial para análises de longo prazo e planejamento financeiro em transações internacionais.	Exchange rate, Free, United States dollar (purchase), period average, 3697	BCB - Banco Central do Brasil
3698	Taxa de câmbio livre, venda de dólar americano (média do período)	Câmbio	8	Un. Monet. Corr. / US$	Mensal	01/02/1953	859	Reflete a taxa de câmbio média para venda de dólares durante o mês, utilizada para análises financeiras e planejamento de transações cambiais ao longo do período.	Exchange rate, Free, United States dollar (sale), period average, 3698	BCB - Banco Central do Brasil
10813	Taxa de câmbio livre, compra de dólar americano	Câmbio	9	Un. Monet. Corr. / US$	Diária	28/11/1984	9972	Reflete a taxa de câmbio para compra de dólares no mercado livre, utilizada para transações cambiais diárias e uma medida importante de valorização/desvalorização do real em relação ao dólar.	Exchange rate, Free, United States dollar (buy)	BCB - Banco Central do Brasil
13961	Ordens de câmbio, saldo	Câmbio	8	US$ (milhões)	Diária	01/09/2008	4017	Reflete o saldo das ordens de câmbio, essencial para analisar o fluxo de entrada e saída de divisas no mercado de câmbio, oferecendo insights sobre o comércio exterior e a balança de pagamentos.	Foreign exchange orders, balance	BCB - Banco Central do Brasil
14001	Taxa SML (Real Brasileiro / Peso Argentino)	Câmbio	8	Razão	Diária	03/10/2008	3795	Mede a taxa de câmbio entre o real e o peso argentino, usada para transações comerciais e financeiras entre Brasil e Argentina.	SML rate (Brazilian real / Argentinean peso)	BCB - Banco Central do Brasil
17843	Intervenções líquidas à vista do Banco Central, contratos liquidados, diários	Câmbio	6	US$ (milhões)	Diária	01/01/1999	7564	Mede as intervenções diárias no mercado de câmbio à vista pelo Banco Central para estabilizar a taxa de câmbio e influenciar o mercado de moedas.	Banco Central spot net interventions, settled contracts, daily	BCB - Banco Central do Brasil
20205	Volume interbancário de câmbio à vista, USD, T+2	Câmbio	7	US$	Diária	04/07/1994	7581	Reflete o volume de transações de câmbio à vista com liquidação em dois dias (T+2), importante para monitorar o fluxo de divisas e a liquidez no mercado cambial interbancário.	Foreign exchange interbank spot volume, USD, T+2	BCB - Banco Central do Brasil
20359	Volume interbancário de câmbio à vista, USD, T+1	Câmbio	8	US$	Diária	04/07/1994	7581	Mede o volume de transações de câmbio à vista entre instituições financeiras com liquidação em um dia (T+1), essencial para avaliar a liquidez e o fluxo de divisas no mercado interbancário.	Foreign exchange interbank spot volume, USD, T+1	BCB - Banco Central do Brasil
